"country","suicide_rate","freedom_score","freedom_rank","happiness_rank","happiness_score","fifa_rank","total_points","cur_year_avg","cur_year_avg_weighted"
"Bangladesh","6.1","5.801300179","138","110","4.643","185","80.79","33.65","33.65"
"Brazil","6.1","6.207988703","123","17","6.952","2","1544.05","879.22","879.22"
"Cambodia","5.9","7.204224143","61","140","3.907","173","118.12","74.38","74.38"
"Belize","5.9","7.145431918","64","52","5.956","163","140.82","0","0"
"Qatar","5.8","6.507776488","103","36","6.375","87","411","210.6","210.6"
"Bahrain","5.7","6.848034997","75","42","6.218","123","263.64","117.3","117.3"
"Armenia","5.7","7.241401801","57","121","4.36","86","412.05","255.57","255.57"
"Kenya","5.6","6.822768345","82","122","4.356","89","394.51","225.29","225.29"
"Albania","5.6","7.568140288","48","109","4.655","49","617.93","239.65","239.65"
"Libya","5.5","4.310282812","158","67","5.615","85","417.45","216.75","216.75"
"Italy","5.5","7.980223159","34","50","5.977","16","1082.6","597.8","597.8"
"Israel","5.2","7.517458071","49","11","7.267","55","594.72","318.04","318.04"
"Mexico","5.2","6.848010198","75","21","6.778","18","1012","575.48","575.48"
"Peru","5.1","7.575393347","47","64","5.743","19","965.37","638.51","638.51"
"Cyprus","4.5","8.112196958","30","69","5.546","115","290.27","61.88","61.88"
"Egypt","4.4","4.807276886","156","120","4.362","36","718.83","421.05","421.05"
"Panama","4.4","7.647620037","46","25","6.701","58","584.11","310.08","310.08"
"Iraq","4.1","4.25801381","159","112","4.575","119","277.57","91.69","91.69"
"Iran","4","5.281224623","153","105","4.813","29","814.49","468.14","468.14"
"Greece","3.8","7.203384075","61","99","5.033","42","674.34","340.62","340.62"
"Venezuela","3.8","4.200724456","161","44","6.084","59","580.98","375.83","375.83"
"Indonesia","3.7","6.77065623","85","79","5.314","171","119.77","76.42","76.42"
"Philippines","3.7","6.918763347","73","82","5.279","120","272.68","140.06","140.06"
"Jordan","3.7","6.849333258","75","80","5.303","105","323.93","109.37","109.37"
"Honduras","3.4","6.723241298","92","104","4.871","75","467.42","292.44","292.44"
"Saudi Arabia","3.4","5.479366035","146","34","6.379","54","605.09","372.94","372.94"
"Algeria","3.3","5.135886055","155","38","6.355","38","692.49","273.77","273.77"
"Tajikistan","3.3","6.18616229","124","100","4.996","129","231.14","135.53","135.53"
"Tunisia","3.2","6.433736122","109","98","5.045","35","737.54","371.57","371.57"
"Lebanon","3.2","6.70999709","95","93","5.129","147","185.54","66.56","66.56"
"Pakistan","3.1","5.662296224","140","92","5.132","197","39.64","0","0"
"Morocco","3.1","6.178378256","127","90","5.151","57","586.71","354.31","354.31"
"Guatemala","2.9","7.094122991","66","39","6.324","79","450.36","273.26","273.26"
"United Arab Emirates","2.7","6.286675088","117","28","6.573","64","541.92","271.9","271.9"
"Azerbaijan","2.6","6.083276739","130","81","5.291","90","386.15","237.22","237.22"
"Syria","2.4","3.765826877","162","156","3.069","96","354.88","220.19","220.19"
"Kuwait","2.2","6.190287237","124","41","6.239","171","119.77","0","0"
"Jamaica","2","7.224208046","60","73","5.51","77","463.27","176.22","176.22"
