Country,Freedom Score,Freedom Rank,Suicide Rate per 100k,Happiness Rank,Happiness Score,Fifa Rank,Fifa Total Points
Nicaragua,6.851247363,75.0,11.9,48.0,5.992000000000001,124.0,261.86
Niger,5.862260048,137.0,9.0,142.0,3.856,127.0,246.22
Nigeria,6.071808602999999,132.0,17.3,103.0,4.875,51.0,615.68
Norway,8.471240566,10.0,10.1,4.0,7.497999999999998,83.0,421.95
Pakistan,5.6622962239999985,140.0,3.1,92.0,5.1320000000000014,197.0,39.64
Panama,7.647620037,46.0,4.4,25.0,6.7010000000000005,58.0,584.11
Paraguay,6.962299094,72.0,9.3,70.0,5.5379999999999985,40.0,683.6
Peru,7.575393347,47.0,5.1,64.0,5.7429999999999986,19.0,965.37
Philippines,6.9187633470000005,73.0,3.7,82.0,5.279,120.0,272.68
Poland,7.811560227,39.0,13.4,57.0,5.835,15.0,1086.72
Portugal,8.276856122,22.0,8.6,94.0,5.122999999999998,8.0,1229.12
Qatar,6.507776487999999,103.0,5.8,36.0,6.375,87.0,411.0
Republic of the Congo,5.898933847,136.0,9.3,127.0,4.2360000000000015,70.0,504.11
Romania,8.171616249,24.0,8.0,71.0,5.528,39.0,689.55
Russia,6.272190833,119.0,26.5,56.0,5.856,56.0,591.98
Rwanda,6.9738695260000005,71.0,11.0,152.0,3.515,92.0,373.15
Saudi Arabia,5.479366035,146.0,3.4,34.0,6.379,54.0,605.09
Senegal,6.497093885,105.0,11.8,128.0,4.2189999999999985,33.0,754.74
Serbia,7.348971626,51.0,10.9,86.0,5.1770000000000005,44.0,646.93
Sierra Leone,6.3973295760000015,112.0,16.1,111.0,4.635,96.0,355.23
Singapore,8.159711817,25.0,7.9,22.0,6.739,165.0,134.58
Slovenia,7.936395732999999,35.0,13.3,63.0,5.768,51.0,615.53
South Africa,7.172571807000001,63.0,12.8,116.0,4.459,60.0,569.12
South Korea,8.148174929,27.0,20.2,57.0,5.835,37.0,699.47
