,rank,country_full,total_points,cur_year_avg,cur_year_avg_weighted,rank_date
53940,157,Chinese Taipei,153.11,112.63,112.63,2016-12-22
53941,158,Grenada,149.58,85.0,85.0,2016-12-22
53942,159,Myanmar,148.23,50.19,50.19,2016-12-22
53943,160,Aruba,146.94,0.0,0.0,2016-12-22
53944,161,Malaysia,143.4,78.99,78.99,2016-12-22
53945,162,FYR Macedonia,142.19,24.87,24.87,2016-12-22
53946,163,Belize,140.82,0.0,0.0,2016-12-22
53947,164,Moldova,137.65,48.88,48.88,2016-12-22
53948,165,Kosovo,134.74,134.74,134.74,2016-12-22
53949,165,Singapore,134.58,37.66,37.66,2016-12-22
53950,167,Laos,133.94,86.7,86.7,2016-12-22
53951,168,New Caledonia,123.0,107.19,107.19,2016-12-22
53952,168,South Sudan,122.66,0.0,0.0,2016-12-22
53953,170,Papua New Guinea,121.76,121.76,121.76,2016-12-22
53954,171,Kuwait,119.77,0.0,0.0,2016-12-22
53955,171,Indonesia,119.77,76.42,76.42,2016-12-22
53956,173,Cambodia,118.12,74.38,74.38,2016-12-22
53957,174,Dominica,112.86,63.75,63.75,2016-12-22
53958,175,Gambia,106.29,39.95,39.95,2016-12-22
53959,175,Vanuatu,106.25,89.25,89.25,2016-12-22
53960,177,St Lucia,103.16,0.0,0.0,2016-12-22
53961,177,Bhutan,102.71,70.83,70.83,2016-12-22
53962,179,Fiji,102.0,72.25,72.25,2016-12-22
53963,179,St Vincent and the Grenadines,101.65,0.0,0.0,2016-12-22
53964,181,Nepal,96.49,72.25,72.25,2016-12-22
53965,182,Guam,88.99,0.0,0.0,2016-12-22
53966,183,Malta,85.13,16.46,16.46,2016-12-22
53967,184,Macau,81.86,58.44,58.44,2016-12-22
53968,185,Bangladesh,80.79,33.65,33.65,2016-12-22
53969,186,Seychelles,77.67,45.54,45.54,2016-12-22
53970,187,Bermuda,76.96,0.0,0.0,2016-12-22
53971,187,Solomon Islands,76.5,76.5,76.5,2016-12-22
53972,189,Liechtenstein,75.27,0.0,0.0,2016-12-22
53973,190,Brunei Darussalam,74.38,42.5,42.5,2016-12-22
53974,191,Timor-Leste,64.0,3.86,3.86,2016-12-22
53975,191,American Samoa,63.75,0.0,0.0,2016-12-22
53976,191,Cook Islands,63.75,0.0,0.0,2016-12-22
53977,191,Samoa,63.75,0.0,0.0,2016-12-22
53978,195,Sri Lanka,44.14,18.89,18.89,2016-12-22
53979,195,US Virgin Islands,43.99,0.0,0.0,2016-12-22
53980,197,Pakistan,39.64,0.0,0.0,2016-12-22
53981,198,Mongolia,38.3,34.0,34.0,2016-12-22
53982,199,Montserrat,30.42,0.0,0.0,2016-12-22
53983,200,Cayman Islands,21.25,0.0,0.0,2016-12-22
53984,201,Turks and Caicos Islands,19.8,0.0,0.0,2016-12-22
53985,202,San Marino,16.63,0.0,0.0,2016-12-22
53986,203,Andorra,11.68,9.48,9.48,2016-12-22
53987,204,British Virgin Islands,10.62,0.0,0.0,2016-12-22
53988,205,Anguilla,0.0,0.0,0.0,2016-12-22
53989,205,Bahamas,0.0,0.0,0.0,2016-12-22
53990,205,Djibouti,0.0,0.0,0.0,2016-12-22
53991,205,Eritrea,0.0,0.0,0.0,2016-12-22
53992,205,Gibraltar,0.0,0.0,0.0,2016-12-22
53993,205,Somalia,0.0,0.0,0.0,2016-12-22
53994,205,Tonga,0.0,0.0,0.0,2016-12-22
